"EXPOCODE","STNNBR","DATE","year","latitude","longitude","PrDM","sf6_obs","Gamma","Delta","sf6_model","error","converged"
1672,124,20200804,2020,59.4737,-49.47801,2.732,2.953,18.1724107929812,18.1691535977417,1.39528536954063,2.42647486994716,FALSE
1673,128,20200805,2020,59.73825,-49.1584,3267.607,2.293,14.7860097973241,14.7855721738957,2.06189566495975,0.0534092136743949,FALSE
1674,128,20200805,2020,59.7381,-49.15803,3199.816,2.216,14.3223627766587,14.3219407261396,2.08218962727754,0.0179052158481228,FALSE
1675,128,20200805,2020,59.73756,-49.15848,3121.968,2.165,14.1545532279466,14.154178533573,2.0739227641135,0.00829506289672572,FALSE
1676,128,20200805,2020,59.737,-49.15814,3020.668,1.97,15.6993012857039,15.0712840006223,1.96999999936856,3.98714525075957e-19,TRUE
1677,128,20200805,2020,59.73696,-49.15754,2900.518,2.031,15.3354924553519,15.3347632600538,1.98314384329876,0.0022902117342132,FALSE
1678,128,20200805,2020,59.7367,-49.15676,2769.946,1.624,19.6720905358081,14.2464249765702,1.62399999931444,4.69992586503516e-19,TRUE
1679,128,20200805,2020,59.73656,-49.15602,2620.728,1.339,23.4375579267989,13.3356052267178,1.33899998553762,2.091604148477e-16,TRUE
1680,128,20200805,2020,59.73628,-49.15616,2460.329,1.366,22.9596978351305,13.55937702952,1.36599996624207,1.13959779337805e-15,TRUE
1681,128,20200805,2020,59.73542,-49.1551,2259.497,1.461,21.5933787001484,14.2095778844809,1.46099999936106,4.08239515273286e-19,TRUE
1682,128,20200805,2020,59.7347,-49.1549,2059.927,1.519,20.670435388867,14.6729980085893,1.51899999933811,4.38092917399776e-19,TRUE
1683,128,20200805,2020,59.73432,-49.1536,1849.903,1.604,19.0549606191502,14.3987519745734,1.60399999935493,4.16119885079605e-19,TRUE
1684,128,20200805,2020,59.73429,-49.1522,1639.713,2.061,14.4559026074132,14.4551400395265,1.91871743262525,0.0202443289787502,FALSE
1685,128,20200805,2020,59.73428,-49.15284,1430.425,2.39,16.6103994732494,16.6094914136674,1.8308321026429,0.312668737434766,FALSE
1686,128,20200805,2020,59.7334,-49.15233,1230.496,2.625,17.2635980698917,17.2532018640631,1.80598106475165,0.670792016295342,FALSE
1687,128,20200805,2020,59.73284,-49.1521,1029.166,2.532,16.7639764178787,16.7634366153033,1.81797832713317,0.509826949323551,FALSE
1688,128,20200805,2020,59.73214,-49.15068,840.526,2.577,17.1893075232442,17.184063738734,1.79624915496053,0.609571882029842,FALSE
1689,128,20200805,2020,59.73122,-49.1486,661.604,2.708,17.8827576869888,17.8821433909207,1.76127995817741,0.896278837588568,FALSE
1690,128,20200805,2020,59.73044,-49.14671,478.908,2.783,18.3988845515329,18.3979828766881,1.72541262340729,1.11849105912826,FALSE
1691,128,20200805,2020,59.72998,-49.14634,329.228,2.809,18.8901426044778,18.8871363610962,1.67342900574727,1.28952148298812,FALSE
1692,128,20200805,2020,59.72974,-49.14542,209.012,2.979,19.2911729178776,19.2910137451392,1.6447945888355,1.78010407918064,FALSE
1693,128,20200805,2020,59.72964,-49.14478,99.217,3.393,19.5517540927998,19.5448756572909,1.67126242262991,2.96438028532822,FALSE
1694,128,20200805,2020,59.72974,-49.14486,49.284,3.444,18.4720432597578,18.4706081550989,1.62963808976772,3.29190914130172,FALSE
1695,128,20200805,2020,59.72966,-49.1446,24.655,3.318,17.1603762159458,17.155517159872,1.5385913990924,3.16629496898396,FALSE
1696,128,20200805,2020,59.72942,-49.14373,3.283,3.013,18.1161969517062,18.1158618253668,1.45216582386039,2.43620332540543,FALSE
1697,132,20200805,2020,59.98616,-48.89564,3054.527,2.228,14.5191729062205,14.5187802503335,2.06465276043106,0.0266823206747933,FALSE
1698,132,20200805,2020,59.98636,-48.8962,2940.798,2.212,14.3925586367973,14.3913107788168,2.06360240538188,0.022021846088445,FALSE
1699,132,20200805,2020,59.98659,-48.89676,2860.388,1.915,16.3543941400533,14.9660938735453,1.91499999940685,3.51832422823974e-19,TRUE
