"EXPOCODE","STNNBR","DATE","year","latitude","longitude","PrDM","sf6_obs","Gamma","Delta","sf6_model","error","converged"
4549,213,20180517,2018,41.4105,-60.6633,1200.3,0.9487,29.310100293652,10.3963897784716,0.948699991246992,7.66151546176373e-17,TRUE
4550,213,20180517,2018,41.4105,-60.6633,940.5,0.9804,28.8863309765514,10.6332811680669,0.980399999322175,4.59447207004352e-19,TRUE
4551,213,20180517,2018,41.4105,-60.6633,690.2,1.1231,26.9982916975049,11.6296485053307,1.12310001638489,2.68464754935511e-16,TRUE
4552,213,20180517,2018,41.4105,-60.6633,460.9,0.7366,32.1729440321019,8.66036348858861,0.736599999534041,2.17118145850748e-19,TRUE
4553,213,20180517,2018,41.4105,-60.6633,249.8,0.5883,34.1940462649737,7.27552019417991,0.58829999912564,7.64504683417819e-19,TRUE
4554,213,20180517,2018,41.4105,-60.6633,100.7,1.5703,21.3686431044969,14.1365363671521,1.57029999880908,1.41828998721616e-18,TRUE
4555,213,20180517,2018,41.4105,-60.6633,49.8,2.1408,14.8059750831791,14.8051440512458,2.09606101745533,0.00200157655913191,FALSE
4556,213,20180517,2018,41.4105,-60.6633,24.4,2.1079,14.7561763260266,14.7561446972712,2.09862441054928,8.60365596582575e-05,FALSE
4557,213,20180517,2018,41.4105,-60.6633,1.4,2.1317,14.750342845063,14.7496024249618,2.09889985686104,0.00107584938993601,FALSE
4558,215,20180517,2018,40.5762,-59.9538,5069.8,0.1355,43.2609683799546,0.957532107632933,0.135500143735412,2.06598685799474e-14,TRUE
4559,215,20180517,2018,40.5762,-59.9538,4950,0.4459,36.2037308104438,5.75364209574263,0.445900035341687,1.2490348140491e-15,TRUE
4560,215,20180517,2018,40.5762,-59.9538,4750.7,0.5371,34.9020538925464,6.75537787034429,0.537099999129883,7.57104329038674e-19,TRUE
4561,215,20180517,2018,40.5762,-59.9538,4529.5,0.3995,36.904775466544,5.19525564921078,0.399499998605838,1.94368646645774e-18,TRUE
4562,215,20180517,2018,40.5762,-59.9538,4300,0.4576,36.0322059644176,5.88862840845384,0.457600017311756,2.99696904485331e-16,TRUE
4563,215,20180517,2018,40.5762,-59.9538,4052.2,0.4366,36.3413910073599,5.64476917186712,0.436600061001006,3.72112270887968e-15,TRUE
4564,215,20180517,2018,40.5762,-59.9538,3787.7,0.4321,36.4084580973859,5.59156770179078,0.432100079026434,6.24517721934884e-15,TRUE
4565,215,20180517,2018,40.5762,-59.9538,3519.1,0.3095,38.4244744654426,3.98285704879886,0.309500114631575,1.31403979765502e-14,TRUE
4566,215,20180517,2018,40.5762,-59.9538,3241.7,0.3551,37.6199080767024,4.62083024952022,0.355100002603976,6.78069263530181e-18,TRUE
4567,215,20180517,2018,40.5762,-59.9538,2959.9,0.3927,37.0109853267529,5.11001387459721,0.392699998662098,1.78998283186748e-18,TRUE
4568,215,20180517,2018,40.5762,-59.9538,2678.9,0.3874,37.0945102870091,5.0429185443926,0.387399998749208,1.56447971901621e-18,TRUE
4569,215,20180517,2018,40.5762,-59.9538,2389.8,0.4968,35.4685562309339,6.32618431976346,0.496800000620165,3.84604114164254e-19,TRUE
4570,215,20180517,2018,40.5762,-59.9538,2100.3,0.4143,36.6770033658526,5.37762907332076,0.41429999858966,1.9890587912976e-18,TRUE
4571,215,20180517,2018,40.5762,-59.9538,1809,0.5309,34.9885593897441,6.69057100714411,0.530899999179124,6.73836916076264e-19,TRUE
