"cruise_number","event","year","latitude","longitude","PrDM","sf6_obs","Gamma","Delta","sf6_model","error","converged"
29,"23",2015,56.5398,-52.6788,3159.14,1.18,23.7918011446606,13.1403758603354,1.17999999824621,3.07577703499259e-18,TRUE
30,"23",2015,56.5398,-52.6788,3028.405,1.09,25.0509073663273,12.6251475256099,1.08999999933178,4.46513712134602e-19,TRUE
31,"23",2015,56.5398,-52.6788,2858.502,1.18,23.7918011446606,13.1403758603354,1.17999999824621,3.07577703499259e-18,TRUE
32,"23",2015,56.5398,-52.6788,2659.981,0.99,26.4587456198495,11.9857437538557,0.990000026228763,6.87948034447864e-16,TRUE
33,"23",2015,56.5398,-52.6788,2439.369,1.04,25.7541106587346,12.3150360795584,1.03999999937767,3.87292927539869e-19,TRUE
34,"23",2015,56.5398,-52.6788,2208.863,0.94,27.1638405334449,11.6360675389829,0.940000002894364,8.37734279499024e-18,TRUE
35,"23",2015,56.5398,-52.6788,1969.774,1.01,26.1767809527002,12.1198482848101,1.01000005384772,2.89957688399309e-15,TRUE
36,"23",2015,56.5398,-52.6788,1720.764,2.1,16.0526502092351,16.0520550252902,1.77092953284175,0.108287372355752,FALSE
37,"23",2015,56.5398,-52.6788,1500.709,2.29,14.5469005004429,14.5466788608582,1.83741816039553,0.204830321539765,FALSE
38,"23",2015,56.5398,-52.6788,1277.623,2.2,15.5130160036958,15.5123603568673,1.79419536348092,0.164677403020382,FALSE
39,"23",2015,56.5398,-52.6788,1070.606,2.31,14.5966440583066,14.5960471334454,1.83513211733834,0.225499505983569,FALSE
40,"23",2015,56.5398,-52.6788,870.124,2.5,15.4508609677255,15.4503611218367,1.79691870112116,0.494323312833155,FALSE
41,"23",2015,56.5398,-52.6788,679.997,2.5,15.4508609677255,15.4503611218367,1.79691870112116,0.494323312833155,FALSE
42,"23",2015,56.5398,-52.6788,505.734,2.53,15.8663294421572,15.8660114710884,1.77890306951904,0.564146598977924,FALSE
43,"23",2015,56.5398,-52.6788,359.642,2.62,15.9505545539102,15.9498721132936,1.7752831966469,0.71354647786708,FALSE
44,"23",2015,56.5398,-52.6788,219.871,2.51,15.4973322733262,15.4933253761496,1.7947864040735,0.511530487798118,FALSE
45,"23",2015,56.5398,-52.6788,101.367,2.92,16.6727508144328,16.6561365101774,1.7444696515863,1.38187160004164,FALSE
46,"23",2015,56.5398,-52.6788,49.459,3.04,16.9131169243578,16.9128483624926,1.73504680234479,1.70290284807055,FALSE
47,"23",2015,56.5398,-52.6788,25.654,2.83,16.4567333945966,16.4560729071029,1.7538919943914,1.15800843973492,FALSE
