"EXPOCODE","STNNBR","DATE","year","latitude","longitude","PrDM","sf6_obs","Gamma","Delta","sf6_model","error","converged"
1353,66,20200730,2020,55.25562,-53.99286,249.973,3.012,17.9787661585859,17.9787323198089,2.12121233306813,0.79350266755792,FALSE
1354,66,20200730,2020,55.25526,-53.99274,159.231,2.989,17.8721821309613,17.8715387132555,2.12621152791552,0.744403947561874,FALSE
1355,66,20200730,2020,55.25496,-53.99272,99.826,3.167,19.7213575776507,18.3526336703734,1.99706225379213,1.36875433000195,FALSE
1358,66,20200730,2020,55.25424,-53.99278,49.403,3.647,20.369659011306,20.366826048508,2.01439321247856,2.66540492266108,FALSE
1361,66,20200730,2020,55.25348,-53.99254,19.621,3.697,20.4245540941189,20.4142065586474,2.01182311284191,2.83982114101182,FALSE
1363,66,20200730,2020,55.25276,-53.9935,3.246,3.389,19.6311849319123,19.6310177928194,2.04629429420986,1.80285861236141,FALSE
1364,70,20200731,2020,55.41998,-53.8206,2715.145,1.879,19.5373727621691,14.5144268426512,1.87899999907976,8.46845531337243e-19,TRUE
1365,70,20200731,2020,55.41996,-53.82011,2591.261,1.855,19.8084049208741,14.4339465560721,1.85499999908164,8.4339293887178e-19,TRUE
1366,70,20200731,2020,55.42002,-53.8195,2509.533,1.693,21.8132152350074,14.1574717812255,1.69299999910915,7.93610665158739e-19,TRUE
1368,70,20200731,2020,55.4195,-53.81856,2290.329,1.359,25.6282902024774,12.2718700257791,1.35899999882994,1.36903428258843e-18,TRUE
1369,70,20200731,2020,55.41958,-53.81836,2148.634,1.257,26.8725844095519,11.6518783654351,1.25699999918736,6.60388027617659e-19,TRUE
1370,70,20200731,2020,55.41965,-53.81788,1990.993,1.534,23.5777995207491,13.270761377706,1.53399999914542,7.30311466174963e-19,TRUE
1371,70,20200731,2020,55.41919,-53.81754,1810.525,1.398,25.161766244372,12.5001580180353,1.39799999773862,5.11382029770699e-18,TRUE
